"module name","license","repository"
"@types/triple-beam@1.3.2","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/yauzl@2.10.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"abbrev@1.1.1","ISC","https://github.com/isaacs/abbrev-js"
"accepts@1.3.8","MIT","https://github.com/jshttp/accepts"
"acorn-jsx@5.3.2","MIT","https://github.com/acornjs/acorn-jsx"
"acorn@8.10.0","MIT","https://github.com/acornjs/acorn"
"agent-base@6.0.2","MIT","https://github.com/TooTallNate/node-agent-base"
"ajv@6.12.6","MIT","https://github.com/ajv-validator/ajv"
"ansi-regex@5.0.1","MIT","https://github.com/chalk/ansi-regex"
"ansi-styles@4.3.0","MIT","https://github.com/chalk/ansi-styles"
"anymatch@3.1.3","ISC","https://github.com/micromatch/anymatch"
"archiver-utils@2.1.0","MIT","https://github.com/archiverjs/archiver-utils"
"archiver@5.3.2","MIT","https://github.com/archiverjs/node-archiver"
"argparse@2.0.1","Python-2.0","https://github.com/nodeca/argparse"
"array-flatten@1.1.1","MIT","https://github.com/blakeembrey/array-flatten"
"async@3.2.4","MIT","https://github.com/caolan/async"
"asynckit@0.4.0","MIT","https://github.com/alexindigo/asynckit"
"axios@1.5.0","MIT","https://github.com/axios/axios"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"base64-js@1.5.1","MIT","https://github.com/beatgammit/base64-js"
"base64id@2.0.0","MIT","https://github.com/faeldt/base64id"
"big-integer@1.6.51","Unlicense","https://github.com/peterolson/BigInteger.js"
"binary-extensions@2.2.0","MIT","https://github.com/sindresorhus/binary-extensions"
"binary@0.3.0","MIT","https://github.com/substack/node-binary"
"bl@4.1.0","MIT","https://github.com/rvagg/bl"
"bluebird@3.4.7","MIT","https://github.com/petkaantonov/bluebird"
"body-parser@1.20.1","MIT","https://github.com/expressjs/body-parser"
"bplist-parser@0.2.0","MIT","https://github.com/nearinfinity/node-bplist-parser"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion"
"braces@3.0.2","MIT","https://github.com/micromatch/braces"
"buffer-crc32@0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer-indexof-polyfill@1.0.2","MIT","https://github.com/sarosia/buffer-indexof-polyfill"
"buffer@5.7.1","MIT","https://github.com/feross/buffer"
"buffers@0.1.1","Custom: http://github.com/substack/node-bufferlist","https://github.com/substack/node-buffers"
"bundle-name@3.0.0","MIT","https://github.com/sindresorhus/bundle-name"
"busboy@1.6.0","MIT","https://github.com/mscdex/busboy"
"bytes@3.1.2","MIT","https://github.com/visionmedia/bytes.js"
"call-bind@1.0.2","MIT","https://github.com/ljharb/call-bind"
"call-me-maybe@1.0.2","MIT","https://github.com/limulus/call-me-maybe"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"camelcase@5.3.1","MIT","https://github.com/sindresorhus/camelcase"
"chainsaw@0.1.0","MIT*","https://github.com/substack/node-chainsaw"
"chalk@4.1.2","MIT","https://github.com/chalk/chalk"
"chokidar@3.5.3","MIT","https://github.com/paulmillr/chokidar"
"chownr@1.1.4","ISC","https://github.com/isaacs/chownr"
"cliui@6.0.0","ISC","https://github.com/yargs/cliui"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name"
"color-string@1.9.1","MIT","https://github.com/Qix-/color-string"
"color@3.2.1","MIT","https://github.com/Qix-/color"
"colorspace@1.1.4","MIT","https://github.com/3rd-Eden/colorspace"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@6.2.0","MIT","https://github.com/tj/commander.js"
"commander@9.5.0","MIT","https://github.com/tj/commander.js"
"compress-commons@4.1.1","MIT","https://github.com/archiverjs/node-compress-commons"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"content-disposition@0.5.4","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.5","MIT","https://github.com/jshttp/content-type"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.4.2","MIT","https://github.com/jshttp/cookie"
"cookie@0.5.0","MIT","https://github.com/jshttp/cookie"
"core-util-is@1.0.3","MIT","https://github.com/isaacs/core-util-is"
"cors@2.8.5","MIT","https://github.com/expressjs/cors"
"crc-32@1.2.2","Apache-2.0","https://github.com/SheetJS/js-crc32"
"crc32-stream@4.0.2","MIT","https://github.com/archiverjs/node-crc32-stream"
"cross-fetch@3.1.5","MIT","https://github.com/lquixada/cross-fetch"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug"
"debug@4.3.4","MIT","https://github.com/debug-js/debug"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"deep-is@0.1.4","MIT","https://github.com/thlorenz/deep-is"
"default-browser-id@3.0.0","MIT","https://github.com/sindresorhus/default-browser-id"
"default-browser@4.0.0","MIT","https://github.com/sindresorhus/default-browser"
"define-lazy-prop@3.0.0","MIT","https://github.com/sindresorhus/define-lazy-prop"
"delayed-stream@1.0.0","MIT","https://github.com/felixge/node-delayed-stream"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd"
"destroy@1.2.0","MIT","https://github.com/stream-utils/destroy"
"devtools-protocol@0.0.981744","BSD-3-Clause","https://github.com/ChromeDevTools/devtools-protocol"
"dijkstrajs@1.0.3","MIT","https://github.com/tcort/dijkstrajs"
"doctrine@3.0.0","Apache-2.0","https://github.com/eslint/doctrine"
"dotenv@16.3.1","BSD-2-Clause","https://github.com/motdotla/dotenv"
"duplexer2@0.1.4","BSD-3-Clause","https://github.com/deoxxa/duplexer2"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex"
"enabled@2.0.0","MIT","https://github.com/3rd-Eden/enabled"
"encode-utf8@1.0.3","MIT","https://github.com/LinusU/encode-utf8"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl"
"end-of-stream@1.4.4","MIT","https://github.com/mafintosh/end-of-stream"
"engine.io-parser@5.2.1","MIT","https://github.com/socketio/engine.io-parser"
"engine.io@6.5.2","MIT","https://github.com/socketio/engine.io"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html"
"escape-string-regexp@4.0.0","MIT","https://github.com/sindresorhus/escape-string-regexp"
"eslint-config-prettier@9.0.0","MIT","https://github.com/prettier/eslint-config-prettier"
"eslint-plugin-prettier@5.0.0","MIT","https://github.com/prettier/eslint-plugin-prettier"
"eslint-scope@7.2.2","BSD-2-Clause","https://github.com/eslint/eslint-scope"
"eslint-visitor-keys@3.4.3","Apache-2.0","https://github.com/eslint/eslint-visitor-keys"
"eslint@8.48.0","MIT","https://github.com/eslint/eslint"
"espree@9.6.1","BSD-2-Clause","https://github.com/eslint/espree"
"esquery@1.5.0","BSD-3-Clause","https://github.com/estools/esquery"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse"
"estraverse@5.3.0","BSD-2-Clause","https://github.com/estools/estraverse"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils"
"etag@1.8.1","MIT","https://github.com/jshttp/etag"
"execa@5.1.1","MIT","https://github.com/sindresorhus/execa"
"execa@7.2.0","MIT","https://github.com/sindresorhus/execa"
"express-fileupload@1.4.0","MIT","https://github.com/richardgirges/express-fileupload"
"express-validator@7.0.1","MIT","https://github.com/express-validator/express-validator"
"express@4.18.2","MIT","https://github.com/expressjs/express"
"extract-zip@2.0.1","BSD-2-Clause","https://github.com/maxogden/extract-zip"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal"
"fast-diff@1.3.0","Apache-2.0","https://github.com/jhchen/fast-diff"
"fast-glob@3.3.1","MIT","https://github.com/mrmlnc/fast-glob"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein"
"fastq@1.15.0","ISC","https://github.com/mcollina/fastq"
"fd-slicer@1.1.0","MIT","https://github.com/andrewrk/node-fd-slicer"
"fecha@4.2.3","MIT","git+https://taylorhakes@github.com/taylorhakes/fecha"
"file-entry-cache@6.0.1","MIT","https://github.com/royriojas/file-entry-cache"
"file-stream-rotator@0.6.1","MIT","https://github.com/rogerc/file-stream-rotator"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range"
"finalhandler@1.2.0","MIT","https://github.com/pillarjs/finalhandler"
"find-up@4.1.0","MIT","https://github.com/sindresorhus/find-up"
"find-up@5.0.0","MIT","https://github.com/sindresorhus/find-up"
"flat-cache@3.1.0","MIT","https://github.com/jaredwray/flat-cache"
"flatted@3.2.7","ISC","https://github.com/WebReflection/flatted"
"fluent-ffmpeg@2.1.2","MIT","https://github.com/fluent-ffmpeg/node-fluent-ffmpeg"
"fn.name@1.1.0","MIT","https://github.com/3rd-Eden/fn.name"
"follow-redirects@1.15.2","MIT","https://github.com/follow-redirects/follow-redirects"
"form-data@4.0.0","MIT","https://github.com/form-data/form-data"
"forwarded@0.2.0","MIT","https://github.com/jshttp/forwarded"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh"
"fs-constants@1.0.0","MIT","https://github.com/mafintosh/fs-constants"
"fs-extra@10.1.0","MIT","https://github.com/jprichardson/node-fs-extra"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"fstream@1.0.12","ISC","https://github.com/npm/fstream"
"function-bind@1.1.1","MIT","https://github.com/Raynos/function-bind"
"get-caller-file@2.0.5","ISC","https://github.com/stefanpenner/get-caller-file"
"get-intrinsic@1.2.1","MIT","https://github.com/ljharb/get-intrinsic"
"get-stream@5.2.0","MIT","https://github.com/sindresorhus/get-stream"
"get-stream@6.0.1","MIT","https://github.com/sindresorhus/get-stream"
"glob-parent@5.1.2","ISC","https://github.com/gulpjs/glob-parent"
"glob-parent@6.0.2","ISC","https://github.com/gulpjs/glob-parent"
"glob@7.1.6","ISC","https://github.com/isaacs/node-glob"
"glob@7.2.3","ISC","https://github.com/isaacs/node-glob"
"globals@13.21.0","MIT","https://github.com/sindresorhus/globals"
"graceful-fs@4.2.11","ISC","https://github.com/isaacs/node-graceful-fs"
"graphemer@1.4.0","MIT","https://github.com/flmnt/graphemer"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag"
"has-proto@1.0.1","MIT","https://github.com/inspect-js/has-proto"
"has-symbols@1.0.3","MIT","https://github.com/inspect-js/has-symbols"
"has@1.0.3","MIT","https://github.com/tarruda/has"
"http-errors@2.0.0","MIT","https://github.com/jshttp/http-errors"
"https-proxy-agent@5.0.1","MIT","https://github.com/TooTallNate/node-https-proxy-agent"
"human-signals@2.1.0","Apache-2.0","https://github.com/ehmicky/human-signals"
"human-signals@4.3.1","Apache-2.0","https://github.com/ehmicky/human-signals"
"iconv-lite@0.4.24","MIT","https://github.com/ashtuchkin/iconv-lite"
"ieee754@1.2.1","BSD-3-Clause","https://github.com/feross/ieee754"
"ignore-by-default@1.0.1","ISC","https://github.com/novemberborn/ignore-by-default"
"ignore@5.2.4","MIT","https://github.com/kaelzhang/node-ignore"
"import-fresh@3.3.0","MIT","https://github.com/sindresorhus/import-fresh"
"imurmurhash@0.1.4","MIT","https://github.com/jensyt/imurmurhash-js"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"ipaddr.js@1.9.1","MIT","https://github.com/whitequark/ipaddr.js"
"is-arrayish@0.3.2","MIT","https://github.com/qix-/node-is-arrayish"
"is-binary-path@2.1.0","MIT","https://github.com/sindresorhus/is-binary-path"
"is-docker@2.2.1","MIT","https://github.com/sindresorhus/is-docker"
"is-docker@3.0.0","MIT","https://github.com/sindresorhus/is-docker"
"is-extglob@2.1.1","MIT","https://github.com/jonschlinkert/is-extglob"
"is-fullwidth-code-point@3.0.0","MIT","https://github.com/sindresorhus/is-fullwidth-code-point"
"is-glob@4.0.3","MIT","https://github.com/micromatch/is-glob"
"is-inside-container@1.0.0","MIT","https://github.com/sindresorhus/is-inside-container"
"is-number@7.0.0","MIT","https://github.com/jonschlinkert/is-number"
"is-path-inside@3.0.3","MIT","https://github.com/sindresorhus/is-path-inside"
"is-stream@2.0.1","MIT","https://github.com/sindresorhus/is-stream"
"is-stream@3.0.0","MIT","https://github.com/sindresorhus/is-stream"
"is-wsl@2.2.0","MIT","https://github.com/sindresorhus/is-wsl"
"isarray@1.0.0","MIT","https://github.com/juliangruber/isarray"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"js-yaml@4.1.0","MIT","https://github.com/nodeca/js-yaml"
"json-buffer@3.0.1","MIT","https://github.com/dominictarr/json-buffer"
"json-schema-traverse@0.4.1","MIT","https://github.com/epoberezkin/json-schema-traverse"
"json-stable-stringify-without-jsonify@1.0.1","MIT","https://github.com/samn/json-stable-stringify"
"jsonfile@6.1.0","MIT","https://github.com/jprichardson/node-jsonfile"
"jsqr@1.4.0","Apache-2.0","https://github.com/cozmo/jsQR"
"keyv@4.5.3","MIT","https://github.com/jaredwray/keyv"
"kuler@2.0.0","MIT","https://github.com/3rd-Eden/kuler"
"lazystream@1.0.1","MIT","https://github.com/jpommerening/node-lazystream"
"levn@0.4.1","MIT","https://github.com/gkz/levn"
"listenercount@1.0.1","ISC","https://github.com/jden/node-listenercount"
"locate-path@5.0.0","MIT","https://github.com/sindresorhus/locate-path"
"locate-path@6.0.0","MIT","https://github.com/sindresorhus/locate-path"
"lodash.defaults@4.2.0","MIT","https://github.com/lodash/lodash"
"lodash.difference@4.5.0","MIT","https://github.com/lodash/lodash"
"lodash.flatten@4.4.0","MIT","https://github.com/lodash/lodash"
"lodash.get@4.4.2","MIT","https://github.com/lodash/lodash"
"lodash.isequal@4.5.0","MIT","https://github.com/lodash/lodash"
"lodash.isplainobject@4.0.6","MIT","https://github.com/lodash/lodash"
"lodash.merge@4.6.2","MIT","https://github.com/lodash/lodash"
"lodash.mergewith@4.6.2","MIT","https://github.com/lodash/lodash"
"lodash.union@4.6.0","MIT","https://github.com/lodash/lodash"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash"
"logform@2.5.1","MIT","https://github.com/winstonjs/logform"
"lru-cache@6.0.0","ISC","https://github.com/isaacs/node-lru-cache"
"media-typer@0.3.0","MIT","https://github.com/jshttp/media-typer"
"merge-descriptors@1.0.1","MIT","https://github.com/component/merge-descriptors"
"merge-stream@2.0.0","MIT","https://github.com/grncdr/merge-stream"
"merge2@1.4.1","MIT","https://github.com/teambition/merge2"
"methods@1.1.2","MIT","https://github.com/jshttp/methods"
"micromatch@4.0.5","MIT","https://github.com/micromatch/micromatch"
"mime-db@1.52.0","MIT","https://github.com/jshttp/mime-db"
"mime-types@2.1.35","MIT","https://github.com/jshttp/mime-types"
"mime@1.6.0","MIT","https://github.com/broofa/node-mime"
"mime@3.0.0","MIT","https://github.com/broofa/mime"
"mimic-fn@2.1.0","MIT","https://github.com/sindresorhus/mimic-fn"
"mimic-fn@4.0.0","MIT","https://github.com/sindresorhus/mimic-fn"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"minimatch@5.1.6","ISC","https://github.com/isaacs/minimatch"
"minimist@1.2.8","MIT","https://github.com/minimistjs/minimist"
"mkdirp-classic@0.5.3","MIT","https://github.com/mafintosh/mkdirp-classic"
"mkdirp@0.5.6","MIT","https://github.com/substack/node-mkdirp"
"moment@2.29.4","MIT","https://github.com/moment/moment"
"ms@2.0.0","MIT","https://github.com/zeit/ms"
"ms@2.1.2","MIT","https://github.com/zeit/ms"
"ms@2.1.3","MIT","https://github.com/vercel/ms"
"natural-compare@1.4.0","MIT","https://github.com/litejs/natural-compare-lite"
"negotiator@0.6.3","MIT","https://github.com/jshttp/negotiator"
"node-fetch@2.6.7","MIT","https://github.com/bitinn/node-fetch"
"node-fetch@2.7.0","MIT","https://github.com/bitinn/node-fetch"
"node-webpmux@3.1.8","ISC","https://github.com/ApeironTsuka/node-webpmux"
"nodemon@3.0.1","MIT","https://github.com/remy/nodemon"
"nopt@1.0.10","MIT","https://github.com/isaacs/nopt"
"normalize-path@3.0.0","MIT","https://github.com/jonschlinkert/normalize-path"
"npm-run-path@4.0.1","MIT","https://github.com/sindresorhus/npm-run-path"
"npm-run-path@5.1.0","MIT","https://github.com/sindresorhus/npm-run-path"
"object-assign@4.1.1","MIT","https://github.com/sindresorhus/object-assign"
"object-hash@2.2.0","MIT","https://github.com/puleos/object-hash"
"object-inspect@1.12.3","MIT","https://github.com/inspect-js/object-inspect"
"on-finished@2.4.1","MIT","https://github.com/jshttp/on-finished"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"one-time@1.0.0","MIT","https://github.com/3rd-Eden/one-time"
"onetime@5.1.2","MIT","https://github.com/sindresorhus/onetime"
"onetime@6.0.0","MIT","https://github.com/sindresorhus/onetime"
"open@9.1.0","MIT","https://github.com/sindresorhus/open"
"openapi-types@12.1.3","MIT","https://github.com/kogosoftwarellc/open-api/tree/master/packages/openapi-types"
"optionator@0.9.3","MIT","https://github.com/gkz/optionator"
"p-limit@2.3.0","MIT","https://github.com/sindresorhus/p-limit"
"p-limit@3.1.0","MIT","https://github.com/sindresorhus/p-limit"
"p-locate@4.1.0","MIT","https://github.com/sindresorhus/p-locate"
"p-locate@5.0.0","MIT","https://github.com/sindresorhus/p-locate"
"p-try@2.2.0","MIT","https://github.com/sindresorhus/p-try"
"parent-module@1.0.1","MIT","https://github.com/sindresorhus/parent-module"
"parseurl@1.3.3","MIT","https://github.com/pillarjs/parseurl"
"path-exists@4.0.0","MIT","https://github.com/sindresorhus/path-exists"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"path-key@3.1.1","MIT","https://github.com/sindresorhus/path-key"
"path-key@4.0.0","MIT","https://github.com/sindresorhus/path-key"
"path-to-regexp@0.1.7","MIT","https://github.com/component/path-to-regexp"
"pend@1.2.0","MIT","https://github.com/andrewrk/node-pend"
"picocolors@1.0.0","ISC","https://github.com/alexeyraspopov/picocolors"
"picomatch@2.3.1","MIT","https://github.com/micromatch/picomatch"
"pkg-dir@4.2.0","MIT","https://github.com/sindresorhus/pkg-dir"
"pngjs@5.0.0","MIT","https://github.com/lukeapage/pngjs"
"prelude-ls@1.2.1","MIT","https://github.com/gkz/prelude-ls"
"prettier-linter-helpers@1.0.0","MIT","https://github.com/prettier/prettier-linter-helpers"
"prettier@3.0.3","MIT","https://github.com/prettier/prettier"
"process-nextick-args@2.0.1","MIT","https://github.com/calvinmetcalf/process-nextick-args"
"progress@2.0.3","MIT","https://github.com/visionmedia/node-progress"
"proxy-addr@2.0.7","MIT","https://github.com/jshttp/proxy-addr"
"proxy-from-env@1.1.0","MIT","https://github.com/Rob--W/proxy-from-env"
"pstree.remy@1.1.8","MIT","https://github.com/remy/pstree"
"pump@3.0.0","MIT","https://github.com/mafintosh/pump"
"punycode@2.3.0","MIT","https://github.com/mathiasbynens/punycode.js"
"puppeteer@13.7.0","Apache-2.0","https://github.com/puppeteer/puppeteer"
"qrcode@1.5.3","MIT","https://github.com/soldair/node-qrcode"
"qs@6.11.0","BSD-3-Clause","https://github.com/ljharb/qs"
"queue-microtask@1.2.3","MIT","https://github.com/feross/queue-microtask"
"range-parser@1.2.1","MIT","https://github.com/jshttp/range-parser"
"raw-body@2.5.1","MIT","https://github.com/stream-utils/raw-body"
"readable-stream@2.3.8","MIT","https://github.com/nodejs/readable-stream"
"readable-stream@3.6.2","MIT","https://github.com/nodejs/readable-stream"
"readdir-glob@1.1.3","Apache-2.0","https://github.com/Yqnn/node-readdir-glob"
"readdirp@3.6.0","MIT","https://github.com/paulmillr/readdirp"
"require-directory@2.1.1","MIT","https://github.com/troygoode/node-require-directory"
"require-main-filename@2.0.0","ISC","https://github.com/yargs/require-main-filename"
"resolve-from@4.0.0","MIT","https://github.com/sindresorhus/resolve-from"
"reusify@1.0.4","MIT","https://github.com/mcollina/reusify"
"rimraf@2.7.1","ISC","https://github.com/isaacs/rimraf"
"rimraf@3.0.2","ISC","https://github.com/isaacs/rimraf"
"run-applescript@5.0.0","MIT","https://github.com/sindresorhus/run-applescript"
"run-parallel@1.2.0","MIT","https://github.com/feross/run-parallel"
"safe-buffer@5.1.2","MIT","https://github.com/feross/safe-buffer"
"safe-buffer@5.2.1","MIT","https://github.com/feross/safe-buffer"
"safe-stable-stringify@2.4.3","MIT","https://github.com/BridgeAR/safe-stable-stringify"
"safer-buffer@2.1.2","MIT","https://github.com/ChALkeR/safer-buffer"
"semver@7.5.4","ISC","https://github.com/npm/node-semver"
"send@0.18.0","MIT","https://github.com/pillarjs/send"
"serve-static@1.15.0","MIT","https://github.com/expressjs/serve-static"
"set-blocking@2.0.0","ISC","https://github.com/yargs/set-blocking"
"setimmediate@1.0.5","MIT","https://github.com/YuzuJS/setImmediate"
"setprototypeof@1.2.0","ISC","https://github.com/wesleytodd/setprototypeof"
"shebang-command@2.0.0","MIT","https://github.com/kevva/shebang-command"
"shebang-regex@3.0.0","MIT","https://github.com/sindresorhus/shebang-regex"
"side-channel@1.0.4","MIT","https://github.com/ljharb/side-channel"
"signal-exit@3.0.7","ISC","https://github.com/tapjs/signal-exit"
"simple-swizzle@0.2.2","MIT","https://github.com/qix-/node-simple-swizzle"
"simple-update-notifier@2.0.0","MIT","https://github.com/alexbrazier/simple-update-notifier"
"socket.io-adapter@2.5.2","MIT","https://github.com/socketio/socket.io-adapter"
"socket.io-parser@4.2.4","MIT","https://github.com/socketio/socket.io-parser"
"socket.io@4.7.2","MIT","https://github.com/socketio/socket.io"
"stack-trace@0.0.10","MIT","https://github.com/felixge/node-stack-trace"
"statuses@2.0.1","MIT","https://github.com/jshttp/statuses"
"streamsearch@1.1.0","MIT","https://github.com/mscdex/streamsearch"
"string-width@4.2.3","MIT","https://github.com/sindresorhus/string-width"
"string_decoder@1.1.1","MIT","https://github.com/nodejs/string_decoder"
"string_decoder@1.3.0","MIT","https://github.com/nodejs/string_decoder"
"strip-ansi@6.0.1","MIT","https://github.com/chalk/strip-ansi"
"strip-final-newline@2.0.0","MIT","https://github.com/sindresorhus/strip-final-newline"
"strip-final-newline@3.0.0","MIT","https://github.com/sindresorhus/strip-final-newline"
"strip-json-comments@3.1.1","MIT","https://github.com/sindresorhus/strip-json-comments"
"supports-color@5.5.0","MIT","https://github.com/chalk/supports-color"
"supports-color@7.2.0","MIT","https://github.com/chalk/supports-color"
"swagger-jsdoc@6.2.8","MIT","https://github.com/Surnet/swagger-jsdoc"
"swagger-parser@10.0.3","MIT","https://github.com/APIDevTools/swagger-parser"
"swagger-ui-dist@5.4.2","Apache-2.0","https://github.com/swagger-api/swagger-ui"
"swagger-ui-express@5.0.0","MIT","https://github.com/scottie1984/swagger-ui-express"
"synckit@0.8.5","MIT","https://github.com/un-ts/synckit"
"tar-fs@2.1.1","MIT","https://github.com/mafintosh/tar-fs"
"tar-stream@2.2.0","MIT","https://github.com/mafintosh/tar-stream"
"text-hex@1.0.0","MIT","https://github.com/3rd-Eden/text-hex"
"text-table@0.2.0","MIT","https://github.com/substack/text-table"
"through@2.3.8","MIT","https://github.com/dominictarr/through"
"titleize@3.0.0","MIT","https://github.com/sindresorhus/titleize"
"to-regex-range@5.0.1","MIT","https://github.com/micromatch/to-regex-range"
"toidentifier@1.0.1","MIT","https://github.com/component/toidentifier"
"touch@3.1.0","ISC","https://github.com/isaacs/node-touch"
"tr46@0.0.3","MIT","https://github.com/Sebmaster/tr46.js"
"traverse@0.3.9","MIT*","https://github.com/substack/js-traverse"
"triple-beam@1.4.1","MIT","https://github.com/winstonjs/triple-beam"
"tslib@2.6.2","0BSD","https://github.com/Microsoft/tslib"
"type-check@0.4.0","MIT","https://github.com/gkz/type-check"
"type-fest@0.20.2","(MIT OR CC0-1.0)","https://github.com/sindresorhus/type-fest"
"type-is@1.6.18","MIT","https://github.com/jshttp/type-is"
"unbzip2-stream@1.4.3","MIT","https://github.com/regular/unbzip2-stream"
"undefsafe@2.0.5","MIT","https://github.com/remy/undefsafe"
"universalify@2.0.0","MIT","https://github.com/RyanZim/universalify"
"unpipe@1.0.0","MIT","https://github.com/stream-utils/unpipe"
"untildify@4.0.0","MIT","https://github.com/sindresorhus/untildify"
"unzipper@0.10.14","MIT","https://github.com/ZJONSSON/node-unzipper"
"uri-js@4.4.1","BSD-2-Clause","https://github.com/garycourt/uri-js"
"util-deprecate@1.0.2","MIT","https://github.com/TooTallNate/util-deprecate"
"utils-merge@1.0.1","MIT","https://github.com/jaredhanson/utils-merge"
"validator@13.11.0","MIT","https://github.com/validatorjs/validator.js"
"vary@1.1.2","MIT","https://github.com/jshttp/vary"
"webidl-conversions@3.0.1","BSD-2-Clause","https://github.com/jsdom/webidl-conversions"
"whatsapp-web.js@1.22.2-alpha.0","Apache-2.0","https://github.com/pedroslopez/whatsapp-web.js"
"whatwg-url@5.0.0","MIT","https://github.com/jsdom/whatwg-url"
